File,Ground Truth,Prediction,Missed (FN),False Alarm (FP)
20240515_221000_8.pt,Mammal,,Mammal,
20240518_204000_5.pt,Mammal,,Mammal,
20240601_015500_4.pt,Mammal,,Mammal,
FS01_20230106_033000_1.pt,"Insect, Rain, Wind",Rain,"Insect, Wind",
FS01_20230106_033000_10.pt,"Insect, Rain, Wind","Insect, Rain",Wind,
FS01_20230106_033000_2.pt,"Insect, Rain, Wind",Rain,"Insect, Wind",
FS01_20230106_033000_3.pt,"Insect, Rain, Wind",Rain,"Insect, Wind",
FS01_20230106_033000_4.pt,"Insect, Rain, Wind",Rain,"Insect, Wind",
FS01_20230106_033000_5.pt,"Insect, Rain, Wind",Rain,"Insect, Wind",
FS01_20230106_033000_6.pt,"Insect, Rain, Wind","Insect, Rain",Wind,
FS01_20230106_033000_7.pt,"Insect, Rain, Wind",Rain,"Insect, Wind",
FS01_20230106_033000_8.pt,"Insect, Rain, Wind",Rain,"Insect, Wind",
FS01_20230106_033000_9.pt,"Insect, Rain, Wind",Rain,"Insect, Wind",
FS01_20230106_110900_1.pt,"Mammal, Wind",Wind,Mammal,
FS01_20230106_110900_10.pt,"Mammal, Wind",Wind,Mammal,
FS01_20230106_110900_2.pt,"Mammal, Wind",Wind,Mammal,
FS01_20230106_110900_3.pt,"Mammal, Wind",Wind,Mammal,
FS01_20230106_110900_4.pt,"Mammal, Wind",Wind,Mammal,
FS01_20230106_110900_5.pt,"Mammal, Wind",Wind,Mammal,
FS01_20230106_110900_6.pt,"Mammal, Wind",Wind,Mammal,
FS01_20230106_110900_7.pt,"Mammal, Wind",Wind,Mammal,
FS01_20230106_110900_8.pt,"Mammal, Wind",Wind,Mammal,
FS01_20230106_110900_9.pt,"Mammal, Wind",Wind,Mammal,
FS01_20230109_121500_1.pt,Rain,,Rain,
FS01_20230109_121500_10.pt,Rain,Bird,Rain,Bird
FS01_20230109_121500_2.pt,Rain,Bird,Rain,Bird
FS01_20230109_121500_3.pt,Rain,"Bird, Rain",,Bird
FS01_20230109_121500_4.pt,Rain,Bird,Rain,Bird
FS01_20230109_121500_5.pt,Rain,Bird,Rain,Bird
FS01_20230109_121500_6.pt,Rain,Bird,Rain,Bird
FS01_20230109_121500_7.pt,Rain,Bird,Rain,Bird
FS01_20230109_121500_8.pt,Rain,Bird,Rain,Bird
FS01_20230109_121500_9.pt,Rain,Bird,Rain,Bird
FS01_20230113_230300_1.pt,Insect,"Frog, Insect",,Frog
FS01_20230113_230300_10.pt,Insect,"Frog, Insect",,Frog
FS01_20230113_230300_2.pt,Insect,"Frog, Insect",,Frog
FS01_20230113_230300_3.pt,Insect,"Frog, Insect",,Frog
FS01_20230113_230300_4.pt,Insect,"Frog, Insect",,Frog
FS01_20230113_230300_5.pt,Insect,"Frog, Insect",,Frog
FS01_20230113_230300_6.pt,Insect,"Frog, Insect",,Frog
FS01_20230113_230300_7.pt,Insect,"Frog, Insect",,Frog
FS01_20230113_230300_8.pt,Insect,"Frog, Insect",,Frog
FS01_20230113_230300_9.pt,Insect,"Frog, Insect",,Frog
FS01_20230115_082400_1.pt,Wind,Insect,Wind,Insect
FS01_20230115_082400_2.pt,Wind,"Insect, Wind",,Insect
FS01_20230115_082400_4.pt,Wind,"Insect, Wind",,Insect
FS01_20230115_082400_5.pt,Wind,"Insect, Wind",,Insect
FS01_20230115_082400_8.pt,Wind,"Insect, Wind",,Insect
FS01_20230115_082400_9.pt,Wind,"Insect, Wind",,Insect
FS01_20230115_110000_10.pt,"Aircraft, Wind","Aircraft, Insect",Wind,Insect
FS01_20230115_110000_2.pt,"Aircraft, Wind","Aircraft, Insect, Wind",,Insect
FS01_20230115_110000_3.pt,"Aircraft, Wind","Aircraft, Insect, Wind",,Insect
FS01_20230115_110000_4.pt,"Aircraft, Wind","Aircraft, Insect, Wind",,Insect
FS01_20230115_110000_5.pt,"Aircraft, Wind","Aircraft, Insect, Wind",,Insect
FS01_20230115_110000_6.pt,"Aircraft, Wind","Aircraft, Insect, Wind",,Insect
FS01_20230115_110000_7.pt,"Aircraft, Wind","Aircraft, Insect, Wind",,Insect
FS01_20230115_110000_9.pt,"Aircraft, Wind","Aircraft, Insect",Wind,Insect
FS01_20230116_053000_6.pt,Wind,"Bird, Wind",,Bird
FS01_20230125_173900_1.pt,Aircraft,Wind,Aircraft,Wind
FS01_20230125_173900_10.pt,Aircraft,Wind,Aircraft,Wind
FS01_20230125_173900_2.pt,Aircraft,Wind,Aircraft,Wind
FS01_20230125_173900_3.pt,Aircraft,"Aircraft, Wind",,Wind
FS01_20230125_173900_4.pt,Aircraft,Wind,Aircraft,Wind
FS01_20230125_173900_5.pt,Aircraft,Wind,Aircraft,Wind
FS01_20230125_173900_6.pt,Aircraft,Wind,Aircraft,Wind
FS01_20230125_173900_8.pt,Aircraft,Wind,Aircraft,Wind
FS01_20230125_173900_9.pt,Aircraft,Wind,Aircraft,Wind
FS01_20230126_070600_1.pt,"Bird, Wind",Bird,Wind,
FS01_20230126_070600_10.pt,"Bird, Wind",Wind,Bird,
FS01_20230126_070600_3.pt,"Bird, Wind",Bird,Wind,
FS01_20230126_070600_4.pt,"Bird, Wind",Wind,Bird,
FS01_20230126_070600_5.pt,"Bird, Wind",Bird,Wind,
FS01_20230126_070600_7.pt,"Bird, Wind",Bird,Wind,
FS01_20230126_070600_8.pt,"Bird, Wind",Bird,Wind,
FS01_20230126_070600_9.pt,"Bird, Wind",Bird,Wind,
FS01_20230126_115100_1.pt,"Rain, Wind",,"Rain, Wind",
FS01_20230126_115100_10.pt,"Rain, Wind",,"Rain, Wind",
FS01_20230126_115100_2.pt,"Rain, Wind",,"Rain, Wind",
FS01_20230126_115100_3.pt,"Rain, Wind",,"Rain, Wind",
FS01_20230126_115100_4.pt,"Rain, Wind",,"Rain, Wind",
FS01_20230126_115100_5.pt,"Rain, Wind","Bird, Rain",Wind,Bird
FS01_20230126_115100_6.pt,"Rain, Wind",Rain,Wind,
FS01_20230126_115100_7.pt,"Rain, Wind",Rain,Wind,
FS01_20230126_115100_8.pt,"Rain, Wind",,"Rain, Wind",
FS01_20230126_115100_9.pt,"Rain, Wind",,"Rain, Wind",
FS01_20230128_113600_10.pt,Rain,Bird,Rain,Bird
FS01_20230128_113600_6.pt,Rain,"Bird, Rain",,Bird
FS01_20230128_113600_8.pt,Rain,,Rain,
FS01_20230128_113600_9.pt,Rain,,Rain,
FS01_20230130_113600_1.pt,Wind,Rain,Wind,Rain
FS01_20230201_120600_7.pt,Wind,,Wind,
FS01_20230201_120600_8.pt,Wind,Rain,Wind,Rain
FS01_20230212_033300_1.pt,"Frog, Insect","Frog, Insect, Owl, Rain",,"Owl, Rain"
FS01_20230212_033300_10.pt,"Frog, Insect","Frog, Insect, Owl",,Owl
FS01_20230212_033300_2.pt,"Frog, Insect","Frog, Insect, Owl",,Owl
